Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Ping Yi Greens,90 years,Keys available,,,1.0,,1.32789302968468,103.923874941007,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDMjBfMTc2ODQ2OTQwMDEyNQ,BEDOK MRT STATION,EW5,821.1,1066.0,12.8,12.8
Kembangan Wave - Plus,15 - 99 years,4Q/2028,4.0,,2.0,,1.32268355501331,103.913022311205,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjlDM18xNzY4NTQ1MDAwMDE4,KEMBANGAN MRT STATION,EW6,182.9,183.0,2.2,2.2
Pearl Garden,51 years,Keys available,,,,1.0,1.33372280929,103.936517719048,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMTBfMTc2ODQ2OTQwMDExMg,BEDOK RESERVOIR MRT STATION,DT30,611.3,973.0,11.7,11.7
Bedok North Woods,95 years,Keys available,,,1.0,,1.32970000498861,103.932990995274,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjRDOV8xNzY4NDY5NDAwMDk0,BEDOK MRT STATION,EW5,704.2,1194.0,14.4,14.4
Bedok South Bloom,15 - 99 years,1Q/2028,8.0,,4.0,,1.32430117973484,103.938654033654,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDMTJfMTc2ODQ2OTQwMDEwOQ,TANAH MERAH MRT STATION,EW4,918.3,990.0,11.9,11.9
Bayshore Vista - Plus,15 - 99 years,2Q/2029,3.0,1.0,6.0,,1.31275165877252,103.946555613266,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjEwQzFBXzE3Njg0Njk0MDAxMDY,BEDOK SOUTH MRT STATION,TE30,576.4,2945.0,35.4,35.4
Bayshore Palms - Plus,15 - 99 years,2Q/2029,1.0,,4.0,,1.3148810353723,103.945464033689,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjEwQzJfMTc2ODQ2OTQwMDExOA,BEDOK SOUTH MRT STATION,TE30,517.3,725.0,8.7,8.7
Bedok North Springs,15 - 99 years,4Q/2027,5.0,,5.0,2.0,1.33481851223975,103.932712092763,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMThfMTc2ODQ2OTQwMDA5Nw,BEDOK RESERVOIR MRT STATION,DT30,222.3,439.0,5.3,5.3
Chai Chee Green,15 - 99 years,4Q/2027 to 1Q/2028,,1.0,11.0,4.0,1.32943726660868,103.919254047197,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDMTRBLUMxNEJfMTc2ODQ2OTQwMDE0Mw,BEDOK NORTH MRT STATION,DT29,635.6,1573.0,18.9,18.9
Bedok South Blossoms,99 years,3Q/2027,,1.0,6.0,6.0,1.32208339971419,103.943408749166,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDMTNfMTc2ODQ2OTQwMDA4Nw,TANAH MERAH MRT STATION,EW4,658.6,826.0,9.9,9.9
